"有效启用","有效啟用"
"无效已关闭","無效已關閉"
"仓库名称/备注","倉庫名稱/備註"
"新建仓库","新建倉庫"
"仓库编号","倉庫編號"
"仓库名称","倉庫名稱"
"所在国家","所在國家"
"操作选项","操作選項"
"修改仓库信息","修改倉庫資訊"
"编辑物流方式","編輯物流方式"
"查看海外仓库存","查看海外倉庫存"
"仓库状态","倉庫狀態"
"仓库托管","倉庫託管"
"操作人员","操作人員"
"请选择仓库状态","請選擇倉庫狀態"
"提交成功","提交成功"
"提交错误","提交錯誤"
"仓库信息已经保存成功","倉庫資訊已經保存成功"
"请更正以下问题再次提交","請更正以下問題再次提交"
"仓库列表","倉庫列表"
"操作人","操作人"
"操作时间","操作時間"
"上次修改","上次修改"
"修改时间","修改時間"

"添加可递送国家","添加可遞送國家"
"国家代号","國家代號"
"国家名","國家名"
"配送仓库(顺序)","配送倉庫(順序)"
"请选择 国家 或者 地区","請選擇 國家 或者 地區"
"国家已存在","國家已存在"
"请选择 仓库","請選擇 倉庫"
"成功添加到国家","成功添加到國家"
"不能再添加/设置更低的优先级的仓库","不能再添加/設置更低的優先順序的倉庫"
"仓库已存在于","倉庫已存在於"
"添加仓库","添加倉庫"
"添加失败。请添加仓库！","添加失敗。請添加倉庫！"
"添加失败，请刷新页面后再添加！","添加失敗，請刷新頁面後再添加！"
"添加成功！","添加成功！"
"添加失败！","添加失敗！"
"上移失败！","上移失敗！"
"上移失败，请确保该上下移的仓库属于同一个国家！","上移失敗，請確保該上下移的倉庫屬於同一個國家！"
"操作成功！","操作成功！"
"操作失败！","操作失敗！"
"删除成功！","刪除成功！"
"删除失败，请选择要删除的仓库！","刪除失敗，請選擇要刪除的倉庫！"
"上移优先","上移優先"

