
"商品图片","商品圖片"
"商品Sku和名称","商品Sku和名稱"
"品牌","品牌"
"供应商名称","供應商名稱"
"所属分类","所屬分類"
"优先级","優先順序"
"商品报价","商品報價"
"报价信息填写不完整","報價資訊填寫不完整"
"请添加报价商品","請添加報價商品"
"请选择报价供应商","請選擇報價供應商"

"添加标签","添加標籤"
"标签名称","標籤名稱"
"产品sku/中文名称","產品sku/中文名稱"
"确认产品","確認產品"
"标签","標籤"
"标签ID","標籤ID"
"标签名称","標籤名稱"
"查看产品","查看產品"
"确定删除选中行","確定刪除選中行"
"标签不能含有特殊字符","標籤不能含有特殊字元"
"长度必须少于100","長度必須少於100"
"未做任何修改","未做任何修改"
"已删除所选行","已刪除所選行"
"删除标签","刪除標籤"
"确认删除标签","確認刪除標籤"

"添加品牌","添加品牌"
"品牌名称","品牌名稱"
"移出品牌","移出品牌"
" 品牌旗下产品"," 品牌旗下產品"
"品牌ID","品牌ID"
"品牌名称","品牌名稱"
"ADDI 信息","ADDI 資訊"
"添加品牌成功","添加品牌成功"
"修改品牌成功","修改品牌成功"
"确定删除选中品牌","確定刪除選中品牌"
"编辑品牌","編輯品牌"
"确认删除品牌","確認刪除品牌"
"产品删除品牌成功","產品刪除品牌成功"
"确认将产品","確認將產品"

"添加子类","添加子類"
"添加分类","添加分類"
"刷新分类","刷新分類"
"保存排序","保存排序"
"保存显示顺序","保存顯示順序"
"分类下商品","分類下商品"
"分类名称","分類名稱"
"显示顺序","顯示順序"
"上级ID","上級ID"
"请勿将文件夹设置自己为 上级目录 ，请重新选择上级目录","請勿將檔夾設置自己為 上級目錄 ，請重新選擇上級目錄"
"错误：保存失败","錯誤：保存失敗"
"是否放弃正在编辑的排序","是否放棄正在編輯的排序"
"编辑分类","編輯分類"
"确认删除该分类","確認刪除該分類"
"该分类名称已经存在！","該分類名稱已經存在！"
"提交信息不完整！","提交資訊不完整！"

"添加产品","添加產品"
"批量修改","批量修改"
"筛  选","篩  選"
"清除筛选","清除篩選"
"导  入","導  入"
"导  出","導  出"
"产品别名","產品別名"
"复制产品","複製產品"
"转为变参产品","轉為變參產品"
"转为捆绑产品","轉為捆綁產品"
"导入商品","導入商品"
"选择需要导入的文件","選擇需要導入的檔案"
"小老板系统目前仅支持XLS格式文件","小老闆系統目前僅支持XLS格式檔案"
"普通商品导入文件","普通商品導入檔案"
"请选择创建类型","請選擇創建類型"
"XLS示例文件下载","XLS示例檔案下載"
"选择、编辑变参","選擇、編輯變參"
"请点击推荐使用（已有）的变参属性，使其添加为本变参产品的可变参数","請點擊推薦使用（已有）的變參屬性，使其添加為本變參產品的可變參數"
"已选变参(最多3个)","已選變參(最多3個)"
"添加新变参","添加新變參"
"推荐变参属性(已有)","推薦變參屬性(已有)"
"加到已选","加到已選"
"移出已选","移出已選"
"变参属性","變參屬性"
"常用度","常用度"
"确认删除","確認刪除"
"变参名不能含有特殊字符","變參名不能含有特殊字元"
"长度必须少于100","長度必須少於100"
"变参名不能含有特殊字符","變參名不能含有特殊字元"
"变参过多","變參過多"
"最多支持3个变参","最多支持3個變參"
"未做任何修改","未做任何修改"
"操作失败: \"新建\"或\"更改\"的参数名已存在，不能重复<br />","操作失敗: \"新建\"或\"更改\"的參數名已存在，不能重複<br />"
"未做任何修改","未做任何修改"
"最多支持选择3个变参！请先调整其他变参后再尝试","最多支持選擇3個變參！請先調整其他變參後再嘗試"
"新建变参","新建變參"
"输入新的变参属性名","輸入新的變參屬性名"
"遇到问题","遇到問題"
"比较方式","比較方式"
"前后模糊匹配","前後模糊匹配"
"商品中文报关名称","商品中文報關名稱"
"商品英文报关名称","商品英文報關名稱"
"批量修改商品","批量修改商品"
"批量修改","批量修改"
"首选供应商","首選供應商"
"商品基本信息","商品基本資訊"
"同商品名称","同商品名稱"
"SKU别名","SKU別名"
"海关申报货币","海關申報貨幣"
"海关申报金额","海關申報金額"
"留空 或者 选择末级分类","留空 或者 選擇末級分類"
"备选供应商","備選供應商"
"采购价","採購價"
"图片信息","圖片資訊"
"把选定图片设为主图","把選定圖片設為主圖"
"通过URL添加图片","通過URL添加圖片"
"上传本地图片","上傳本地圖片"
"属性集","屬性集"
"质检标准","質檢標準"
"别名","別名"
"单位销售数量","單位銷售數量"
"标签为空或已存在该标签","標籤為空或已存在該標籤"
"不能选择重复标签","不能選擇重複標籤"
"报价不能为空","報價不能為空"
"<span style='color:red'>(含有变参产品！删除的话，而其下的子产品会各自变成普通产品)</span>","<span style='color:red'>(含有變參產品！刪除的話，而其下的子產品會各自變成普通產品)</span>"
"确定删除选中行","確定刪除選中行"
"已删除所选行","已刪除所選行"
"以下SKU","以下SKU"
"已经在采购/订单/仓储模块中使用，不能删除。建议改为下架状态","已經在採購/訂單/倉儲模組中使用，不能刪除。建議改為下架狀態"
"删除出错","刪除出錯"
"没有选择任何行","沒有選擇任何行"
"增加别名","增加別名"
"已经添加了","已經添加了"
"筛选条件为空","篩選條件為空"
"筛选条件有误","篩選條件有誤"
"记录已更新","記錄已更新"
"更新失败","更新失敗"
"没有选择任何修改项","沒有選擇任何修改項"
"原来的产品","原來的產品"
" 没有包含在"," 沒有包含在"
"产品，和原来的 ","產品，和原來的 "
"没有任何联系，确定保存","沒有任何聯繫，確定保存"
"保存商品成功","保存商品成功"
"商品信息修改成功","商品資訊修改成功"
"请求确认","請求確認"
"没有子产品 或 子产品必要","沒有子產品 或 子產品必要"
"未完善，确认：保存将只会保存一个不含子产品的空合集！取消：返回继续编辑。","未完善，確認：保存將只會保存一個不含子產品的空合集！取消：返回繼續編輯。"
"子产品中，保存后相当于创建一个新的","子產品中，保存後相當於創建一個新的"
"某些子产品必要变参完全重复","某些子產品必要變參完全重複"
"变参产品包括的子产品信息（可以添加已有普通产品作为子产品，但其旧有参数不能编辑）","變參產品包括的子產品資訊（可以添加已有普通產品作為子產品，但其舊有參數不能編輯）"
"添加子产品","添加子產品"
"编辑变参属性","編輯變參屬性"
"请选择商品类型","請選擇商品類型"
"供应商不能为空","供應商不能為空"
"请选择本地图片：<br />","請選擇本地圖片：<br />"
"请选择(BMP|GIF|JPG|JPEG|ICO|PNG|TIF)等格式的图片","請選擇(BMP|GIF|JPG|JPEG|ICO|PNG|TIF)等格式的圖片"
"继续添加本地图片","繼續添加本地圖片"
"上传本地图片","上傳本地圖片"
"存在相同图片，请重新选择。","存在相同圖片，請重新選擇。"
"上传成功","上傳成功"
"上传出错","上傳出錯"
"上传完毕","上傳完畢"
"Url地址：","Url地址："
"继续添加图片","繼續添加圖片"
"添加图片","添加圖片"
"添加","添加"
"存在相同图片，请重新添加。","存在相同圖片，請重新添加。"
"没有添加任何图片！","沒有添加任何圖片！"
"存在相同图片，请重新选择。","存在相同圖片，請重新選擇。"
"设置主图片成功！","設置主圖片成功！"
"请点击选择图片！","請點擊選擇圖片！"
" 行产品"," 行產品"
"行sku未填","行sku未填"
"还有下列  ","還有下列  "
" 个产品上传失败"," 個產品上傳失敗"
"上传失败","上傳失敗"
"确认导出所有产品?","確認導出所有產品?"
"确认导出选择产品?","確認導出選擇產品?"
"导出产品数据","導出產品數據"
"设置属性集错误：存在重复值或值为空！","設置屬性集錯誤：存在重複值或值為空！"
"属性集字符过长，请删除一个或多个属性集！","屬性集字元過長，請刪除一個或多個屬性集！"
"导入","導入"
"商品sku不是与别名重复","商品sku不是與別名重複"
"错误：别名查检失败！","錯誤：別名查檢失敗！"
"请设置 分类 为末级分类！","請設置 分類 為末級分類！"
"已经存在，信息更新成功！","已經存在，資訊更新成功！"
"操作结果","操作結果"
"错误：保存失败！","錯誤：保存失敗！"
"设置供应商错误：存在重复值或值为空！","設置供應商錯誤：存在重複值或值為空！"
"标签不能含有特殊字符！","標籤不能含有特殊字元！"
"修改变参子产品","修改變參子產品"
"变参产品包括的子产品信息","變參產品包括的子產品資訊"
"变参产品包括的子产品信息（可以添加已有普通产品作为子产品，但其就有参数不能编辑）","變參產品包括的子產品資訊（可以添加已有普通產品作為子產品，但其就有參數不能編輯）"
"捆绑子产品信息","捆綁子產品資訊"
"添加捆绑产品","添加捆綁產品"
"提醒：这是一个变参产品集合！","提醒：這是一個變參產品集合！"
"删除变参产品集合的话，本变参产品关联将会消失，而集合下的子产品会各自变成普通产品，订单以及采购管理中的产品SKU使用不会受到影响。确定删除变参产品集合？","刪除變參產品集合的話，本變參產品關聯將會消失，而集合下的子產品會各自變成普通產品，訂單以及採購管理中的產品SKU使用不會受到影響。確定刪除變參產品集合？"
"(同时会将此产品在产品列表中删除！)","(同時會將此產品在產品列表中刪除！)"
"是否继续","是否繼續"
"确认删除商品","確認刪除商品"
" 已经在采购/订单/仓储模块中使用，不能删除。建议改为下架状态"," 已經在採購/訂單/倉儲模組中使用，不能刪除。建議改為下架狀態"
"复制普通产品","複製普通產品"
"目前已经有订单(如：","目前已經有訂單(如："
")使用了该别名，删除别名有可能使得该订单同步平台时候出错，确定要删除别名吗?",")使用了該別名，刪除別名有可能使得該訂單同步平臺時候出錯，確定要刪除別名嗎?"
"更新商品：","更新商品："
"的状态为","的狀態為"
"状态修改成功","狀態修改成功"
"状态修改失败","狀態修改失敗"
"选择已上传图片","選擇已上傳圖片"
"不可编辑","不可編輯"
"sku不能为空","sku不能為空"
"sku重复","sku重複"
"sku已在本变参产品的子产品列表中，不能重复使用！","sku已在本變參產品的子產品列表中，不能重複使用！"
"已经在其他变参产品中，不能作为新变参产品的子产品！","已經在其他變參產品中，不能作為新變參產品的子產品！"
"已存在！是否确认以此作为一个子产品(不可编辑)？","已存在！是否確認以此作為一個子產品(不可編輯)？"
"类型限制","類型限制"
"变参产品必须有子产品","變參產品必須有子產品"
