"状态代码","狀態代碼"
"挂起状态","掛起狀態"
"您确定要保存记录?","您確定要保存記錄?"
"请检查该挂起状态是否已被使用","請檢查該掛起狀態是否已被使用"
"您确定要删除选中挂起状态?","您確定要刪除選中掛起狀態?"

"您确定要删除选中规则?","您確定要刪除選中規則?"
"您确定要导出选中包裹记录?","您確定要導出選中包裹記錄?"
"编号:","編號:"
"规则编号","規則編號"
"优先级","優先順序"
"规则名称","規則名稱"
"导出","導出"
"编辑物流方式自动匹配规则","編輯物流方式自動匹配規則"
"创建物流方式自动匹配规则","創建物流方式自動匹配規則"
"订单号","訂單號"
"自动匹配物流商","自動匹配物流商"
"请选择","請選擇"
"自动匹配物流方式","自動匹配物流方式"
"权重","權重"
"是否开启","是否開啟"
"未开启","未開啟"
"订单来源","訂單來源"
"订单来源为指定平台/站点/账号","訂單來源為指定平臺/站點/帳號"
"选择站点","選擇站點"
"卖家账号","賣家帳號"
"订单总金额在指定范围内","訂單總金額在指定範圍內"
"订单总重量在指定范围内","訂單總重量在指定範圍內"
"发货仓库为指定仓库","發貨倉庫為指定倉庫"
"买家选择的发货方式","買家選擇的發貨方式"
"目的地国家为在指定国家","目的地國家為在指定國家"
"订单中包含指定商品(SKU)","訂單中包含指定商品(SKU)"
"请完善表单资料","請完善表單資料"
"请选择订单来源","請選擇訂單來源"
"请选择卖家帐号","請選擇賣家帳號"
"请填写规则名称","請填寫規則名稱"
"您确定要删除选中记录?","您確定要刪除選中記錄?"
"订单中包含指定货品(SKU)","訂單中包含指定貨品(SKU)"



