"同步海外仓库存","同步海外倉庫存"
"sku关联上传","sku關聯上傳"
"选择需要导入的文件","選擇需要導入的檔"
"小老板系统目前仅支持XLS格式文件","小老闆系統目前僅支持XLS格式檔"
"您确定要进行此操作?","您確定要進行此操作?"
"SKU文件上传成功","SKU檔上傳成功"
"你还没有选择文件","你還沒有選擇檔"
"海外仓sku","海外倉sku"
"系统sku","系統sku"
"海外仓仓库code","海外倉倉庫code"
"物流商","物流商"
"物流方式","物流方式"
"在库库存","在庫庫存"
"在途库存","在途庫存"
"冻结库存","凍結庫存"
"超时库存","超時庫存"
"导入","導入"
"点击这里下载SKU导入模板文件","點擊這裏下載SKU導入範本檔"
"号仓库的物流方式","號倉庫的物流方式"
"批量删除","批量刪除"
"新增物流方式","新增物流方式"
"仓库id","倉庫id"
"基础设置","基礎設置"
"首重","首重"
"续重","續重"
"发货国家","發貨國家"
"保险类型","保險類型"
"保价","保價"
"付款类型","付款類型"
"退件标示","退件標示"
"此部分必须以英文填写","此部分必須以英文填寫"
"(填入国家二字代码)","(填入國家二字代碼)"
"8元每票","8元每票"
"5元每票","5元每票"
"0.6%保费","0.6%保費"
"预付","預付"
"到付","到付"
"无需退回","無需退回"
"发件人发起退件","發件人發起退件"
"处理点设置","處理點設置"
"处理点","處理點"
"燕文物流参数","燕文物流參數"
"跟踪信息查询网址","跟蹤資訊查詢網址"
"打印标签样式","列印標籤樣式"
"10x10运单","10x10運單"
"10x10运单+拣货单","10x10運單+揀貨單"
"10x10运单+报关签条","10x10運單+報關簽條"
"10x10运单+报关签条+拣货单","10x10運單+報關簽條+揀貨單"
"A6运单","A6運單"
"A6运单+拣货单","A6運單+揀貨單"
"A6运单+报关签条","A6運單+報關簽條"
"A6运单+报关签条+拣货单","A6運單+報關簽條+揀貨單"
"A4运单","A4運單"
"A4运单+拣货单","A4運單+揀貨單"
"A4运单+报关签条","A4運單+報關簽條"
"A4运单+报关签条+拣货单","A4運單+報關簽條+揀貨單"
"跟踪号取","跟蹤號取"
"运单号","運單號"
"转运单号","轉運單號"
"无跟踪号","無跟蹤號"
"<br/>注：燕文物流比较特殊<br/>有的用转运单号做跟踪号（比如燕邮宝）<br/>挂号用运单号做跟踪号、平邮则无跟踪号<br/>请根据实际情况选择","<br/>注：燕文物流比較特殊<br/>有的用轉運單號做跟蹤號（比如燕郵寶）<br/>掛號用運單號做跟蹤號、平郵則無跟蹤號<br/>請根據實際情況選擇"
"是否提交Epcode","是否提交Epcode"
"<br/>注：部分物流必填(比如燕邮宝)<br/>提交值为Epcode前缀+小老板包裹号;","<br/>注：部分物流必填(比如燕郵寶)<br/>提交值為Epcode首碼+小老闆包裹號;"
"Epcode前缀","Epcode首碼"
"注：默认为YW;","注：默認為YW;"
"是否需要保险","是否需要保險"
"你确定要删除物流商?","你確定要刪除物流商?"
"请先启用，启用后可以操作！","請先啟用，啟用後可以操作！"
"的物流方式","的物流方式"
"系统预定义","系統預定義"
"请先启用","請先啟用"
"启用后可以查看","啟用後可以查看"
"启用后才可以操作","啟用後才可以操作"
"备注信息","備註資訊"
"联系地址","聯繫地址"
"系统类型","系統類型"
"自定义类型","自定義類型"
"物流商代码","物流商代碼"
"物流商名","物流商名"
"授权信息","授權資訊"
"授权Token","授權Token"
"打印设置","列印設置"
"处理点设置","處理點設置"
"出口易验证信息","出口易驗證資訊"
"出口易帐号","出口易帳號"
"口令(TOKEN)","口令(TOKEN)"
"验证字符串(UserKey)","驗證字串(UserKey)"
"怎样申请验证字符串?","怎樣申請驗證字串?"
"出口易物流方式中没有设置处理点，默认使用此处设置","出口易物流方式中沒有設置處理點，默認使用此處設置"
"处理点","處理點"
"打印格式","列印格式"
"经典A4","經典A4"
"经典标签纸","經典標籤紙"
"打印内容","列印內容"
"只打印地址","只列印地址"
"同一张打印地址与报关单","同一張列印地址與報關單"
"分开打印地址与报关单","分開列印地址與報關單"
"打印地址与配货清单（要打印配货清单请添加订单时传人需打印的清单到Remark字段）","列印地址與配貨清單（要列印配貨清單請添加訂單時傳人需列印的清單到Remark字段）"
"打印地址、报关单与配货清单","列印地址、報關單與配貨清單"
"燕文API认证参数设置","燕文API認證參數設置"
"燕文客户号","燕文客戶號"
"密码","密碼"
"开通Ebay APAC帐号","開通Ebay APAC帳號"
"新增失败!","新增失敗!"
"添加未成功，请重试","添加未成功，請重試"
"请点击这里，根据文档将你的EBAY帐号绑定EUB","請點擊這裏，根據文檔將你的EBAY帳號綁定EUB"
"初次使用APAC Shipping Platform，点击这里进行开通","初次使用APAC Shipping Platform，點擊這裏進行開通"
"上门揽收","上門攬收"
"卖家自送","賣家自送"
"发货/揽收地址信息","發貨/攬收地址資訊"
"交运方式","交運方式"
"寄件人地址信息","寄件人地址資訊"
"此部分必须以英文填写","此部分必須以英文填寫"
"退货地址信息","退貨地址資訊"
"此部分为与寄件人地址对应的中文","此部分為與寄件人地址對應的中文"
"标签格式","標籤格式"
"A4 格式标签","A4 格式標籤"
"4寸热敏标签纸格式标签","4寸熱敏標籤紙格式標籤"
"国际E邮宝支持A4和热敏","國際E郵寶支持A4和熱敏"
"TNT与FedEx只支持A4","TNT與FedEx只支持A4"
"包裹详情","包裹詳情"
"您确定要删除物流方式?","您確定要刪除物流方式?"
"请先启用!","請先啟用!"








